id,page,chapter,title,year,month,day,hour,sex,person,yongsin,conf
V4S-001,244,第四 正財格,例 자 身旺財旺格,乙丑,乙酉,丙午,庚寅,女,,酉宮辛金(財),A
V4S-002,250,第五 偏財格,例 가 印旺財用格,癸亥?,甲寅,丁酉,壬寅,男,,酉宮辛金(財),B
V4S-003,251,第五 偏財格,例 나 食神生財格,丙辰,己亥,庚戌,丁丑,男,,亥中甲木(財),A
V4S-004,253,第五 偏財格,例 다 身旺財旺格(年上偏財格),丁巳,壬子,癸巳,辛酉,男,,丁火(年上偏財)/巳中丙火,A
V4S-005,254,第五 偏財格,例 라 財多身弱達運格(月上偏財),癸丑,壬戌,戊子,癸丑,男,,火土(印比 扶身),A
V4S-006,254,第五 偏財格,例 마 傷官生財格,癸亥,甲寅,庚申,庚辰,男,,"寅中甲木(偏財), 喜 癸水傷官",A
V4S-007,255,第五 偏財格,例 바 偏財類聚格,辛丑,丁酉,丁巳,丁未,男,,酉丑金(財); 運喜 木火(扶身),A
V4S-008,256,第五 偏財格,例 사 火旺金疊格(日坐偏財類聚格·火爲病),丙寅,甲午,丁酉,乙巳,男,,"酉金(財); 病 火, 藥 土金水",A
V4S-009,258,第五 偏財格,例 아 月偏財格(偏財用劫格),戊子,丁巳,甲辰,丙寅,男,,比劫(寅中甲木)·水運,A
V4S-010,259,第五 偏財格,例 자 偏財類聚格,己酉,丙子,壬寅,乙巳,男,,巳中丙火(偏財),A
V4S-011,260,第五 偏財格,例 차 身旺財弱格,癸亥,乙卯,乙未,壬午,男,,財 土(未中己土·傷官生財),A
V4S-013,268,第六 食神格,例 가 食神生財用劫格,庚戌,戊寅,戊申,癸亥,男,李秉喆(삼성 창업자),"比劫·火(午未運, 用劫)",A
V4S-014,269,第六 食神格,例 가 부록 — 李秉喆 時柱 논쟁(戌時說),庚戌,戊寅,戊申,壬戌,男,李秉喆(戌時說),"(亥時說 채택, 例 가 참조)",A
V4S-015,270,第六 食神格,例 나 食神生財格(酉金爲病),乙酉,丁亥,庚寅,庚辰,男,李希俊 社長(충북 갑부),"食神水·財木; 病 庚酉金, 藥 丁火",A
V4S-016,271,第六 食神格,例 다 食神制辛金殺格(辛金爲病·制不足格),己巳,辛未,乙亥,丁丑,男,,丁火 食神(藥); 病 辛金殺,A
V4S-017,271,第六 食神格,例 라 眞傷官格(庚金爲病),甲戌,庚午,乙亥,丁丑,男,,丁火 傷官(藥); 病 庚金官,A
V4S-019,274,第六 食神格,例 마 假傷官格(金輕火土重病·行運補用神例),甲戌,辛未,己酉,己巳,男,,"金 食神(酉); 病 火土, 藥 水(行運補用神)",A
V4S-020,275,第六 食神格,例 바 假傷官格(木重土輕),癸卯,甲寅,丙午,戊戌,男,,"戊土 假傷官(泄); 病 甲木, 藥 金",A
V4S-022,278,第六 食神格,例 사 眞傷官用劫格,乙酉,己丑,庚子,壬午,男,,比劫 金(酉丑),A
